id_comision,id_cli,cod_prod,fec_cobro,vr_comision,tip_comision,estado_cobro
COM-000001,105764,PROD-005,2026-08-18,27900.0,Comision Administracion,Cobrado
COM-000002,107432,PROD-037,2026-05-10,12100.0,Comision Manejo Cuenta,Cobrado
COM-000003,108395,PROD-025,2026-01-30,4400.0,Comision Retiro Cajero,Cobrado
COM-000004,100670,PROD-027,2025-12-01,34800.0,Comision Administracion,Cobrado
COM-000005,101678,PROD-001,2025-12-14,22900.0,Comision Administracion,Cobrado
COM-000006,107889,PROD-047,2025-11-03,14600.0,Comision Manejo Cuenta,Pendiente
COM-000007,105170,PROD-037,2025-12-04,27800.0,Comision Administracion,Rechazado
COM-000008,103895,PROD-034,2026-05-31,30400.0,Comision Administracion,Cobrado
COM-000009,107245,PROD-016,2026-05-05,3300.0,Comision Transferencia,Cobrado
COM-000010,106130,PROD-046,2026-03-03,1900.0,Comision Consulta Saldo,Cobrado
COM-000011,109846,PROD-022,2025-12-11,14700.0,Comision Manejo Cuenta,Cobrado
COM-000012,103210,PROD-016,2026-04-27,10100.0,Comision Transferencia,Pendiente
COM-000013,100578,PROD-009,2025-12-03,4000.0,Comision Retiro Cajero,Cobrado
COM-000014,105944,PROD-038,2026-03-14,12600.0,Comision Manejo Cuenta,Cobrado
COM-000015,108849,PROD-017,2026-01-04,17900.0,Comision Administracion,Cobrado
COM-000016,103718,PROD-045,2026-02-16,18100.0,Comision Manejo Cuenta,Rechazado
COM-000017,103580,PROD-031,2026-03-03,37300.0,Comision Administracion,Cobrado
COM-000018,106826,PROD-039,2025-10-28,12200.0,Comision Manejo Cuenta,Cobrado
COM-000019,104691,PROD-050,2026-03-25,39300.0,Comision Administracion,Cobrado
COM-000020,109097,PROD-017,2026-03-21,25700.0,Comision Administracion,Cobrado
COM-000021,109263,PROD-003,2025-11-04,4900.0,Comision Retiro Cajero,Rechazado
COM-000022,109219,PROD-050,2026-07-13,26900.0,Comision Administracion,Cobrado
COM-000023,108509,PROD-015,2026-08-02,33200.0,Comision Administracion,Cobrado
COM-000024,103392,PROD-025,2026-07-20,13800.0,Comision Manejo Cuenta,Cobrado
COM-000025,109888,PROD-036,2026-07-13,4300.0,Comision Transferencia,Cobrado
COM-000026,100248,PROD-011,2026-02-04,14600.0,Comision Manejo Cuenta,Cobrado
